microbe,GQ_UC1,GQ_UC3,GQ_UC4,GQ_UC5,MC_UC1,MC_UC2,MC_UC3,MC_UC4,HC_UC2,HC_UC4,HJC_UC1,HJC_UC2,HJC_UC3,HJC_UC4,JJC_UC2,YZJC_UC3,ZC_UC1,ZC_UC3,ZC_UC4,ZC_UC5,MC_HC1,HC_HC1,HJC_HC1
Proteobacteria,2592,3790,56944,2231,4290.666667,31640.33333,6287,55443,32255.33333,53984.33333,12115,35635.66667,5739.5,56028.66667,17957.33333,20122.66667,4076,12453,36446.33333,1728,5840,7716,6871.666667
Firmicutes,29917,19695,7044,60767,25122.66667,29440.33333,19356,2332,35192,15418,17292.66667,39253.66667,20709.5,10494.66667,43361,20411.33333,15561.33333,23868,21626,60710.5,19464.66667,13035.66667,21689.33333
Bacteroidetes,30078,40869,1285,15938,48849.33333,1087.666667,32474,1119,1521,1261,40019,828.3333333,41762,1084.666667,4727,23016,52402.66667,35029.5,8746,19593,44225.66667,46548.33333,45420.66667
Actinobacteria,4361,1050,2540,1037,288.6666667,1822.666667,821,401,3642.666667,2466.666667,433.6666667,786.3333333,870,2846.666667,8184,1120.333333,265.3333333,540,2850.333333,2217,509,349.3333333,343.6666667
Cyanobacteria,2,1,6,0,0.666666667,4,1,0,5.333333333,7.333333333,6,1,20,11.33333333,2.333333333,7.333333333,6.666666667,7,102.3333333,0.5,1,1,0
Fusobacteria,1,172,763,1,2.666666667,73,777.5,652,1.666666667,410.6666667,545.3333333,349.3333333,606,48.33333333,739.3333333,550,1.666666667,620.5,565,0,2.333333333,2.333333333,2.666666667
Chloroflexi,0,2,1,0,3.333333333,21.33333333,5.5,3,3.333333333,2.666666667,232.3333333,3,3.5,23.33333333,10,3.333333333,3.666666667,4,7,1.5,2,7.666666667,1.666666667
Planctomycetes,0,0,8,0,2.333333333,4,2,34,0.666666667,11,122,0.333333333,1,12.33333333,1.333333333,1.333333333,1,1.5,23,0,0.666666667,5.333333333,0.333333333
Acidobacteria,4,4,11,2,16.66666667,128.3333333,6.5,10,12,15,43,5,9,132.3333333,34,13,17,31.5,37,1.5,4.666666667,34.33333333,3.333333333
Saccharibacteria,0,0,21,0,0.666666667,2.333333333,0.5,0,9,42,7.333333333,1.333333333,0,19,22.66666667,0.333333333,1.333333333,1,113,0.5,0.333333333,0,0.333333333
Deinococcus-Thermus,12,1,14,3,8.333333333,6,1.5,4,8.666666667,6.333333333,20.33333333,2.333333333,4,16.33333333,6.666666667,0.666666667,15.33333333,1,15.66666667,5,25,60.33333333,4.333333333
Tenericutes,0,0,25,0,0,3,0.5,0,29.33333333,38.66666667,8.333333333,2.666666667,2,16,44.66666667,1.666666667,0.333333333,5.5,94.33333333,4.5,0.333333333,0,0.333333333
Nitrospirae,0,0,0,1,0.333333333,12.33333333,1.5,0,1,5,35.33333333,2,3,10.66666667,5,0.333333333,2,2,1.666666667,0.5,1.333333333,2.333333333,0.666666667
Verrucomicrobia,0,5,14,0,0,22,5,5,3.333333333,6,9.333333333,6,4.5,32,7,8.666666667,2.666666667,13,8.333333333,0.5,0.333333333,4.666666667,0.333333333
Deferribacteres,0,0,0,0,0,2.333333333,3.5,5,0,12.33333333,0.333333333,2.666666667,2.5,3.333333333,14.66666667,5.333333333,0.666666667,8,6.333333333,0,0,0,0
Gemmatimonadetes,3,1,3,0,8.666666667,16,3,5,3,8,11.66666667,3,4.5,17.33333333,7.666666667,3.333333333,5,4.5,5.666666667,1,3.333333333,15.33333333,3
Others,15,3,7,2,1271.333333,11,20.5,58,30,59,20.33333333,5.333333333,5.5,42.66666667,56,7.333333333,501.6666667,6,57.33333333,8,2.666666667,5.333333333,0.666666667
